Modelo_Auto,Ano_Auto,ID_Modelo,Pais_Venta,Continente_Venta,Marca_Auto,Segmento_Auto,Es_Electrico,Tipo_Transmision,Es_Nuevo,Unidades_Vendidas,Total_Ventas
Tucson,2016,E7564-19,Italia,Europa,Hyundai,SUV Compacto,No,Automático,No,2206,100686233.86
Focus,2022,P5098-68,Alemania,Europa,Ford,Compacto,No,Automático,No,1001,205214155.63
RAV4,2017,P8025-88,Corea del Sur,Asia,Toyota,SUV Compacto,No,Automático,No,1968,225915092.87
CX-5,2015,J1409-75,México,América,Mazda,SUV Compacto,No,Manual,No,4033,215154294.56
Mustang,2022,H2367-37,Australia,Oceanía,Ford,Deportivo,No,Manual,No,3217,164281719.25
3 Series,2021,C7925-24,Canadá,América,BMW,Sedan Premium,No,Manual,No,1444,4056742.63
3 Series,2017,G7428-41,Australia,Oceanía,BMW,Sedan Premium,No,Automático,No,1132,139748562.56
Golf,2020,L8821-54,Corea del Sur,Asia,Volkswagen,Compacto,No,Automático,No,1281,54672061.22
Golf,2021,L3460-21,Estados Unidos,América,Volkswagen,Compacto,No,Manual,No,1017,44124250.62
Camry,2017,S5315-41,Alemania,Europa,Toyota,Sedan Mediano,No,Manual,No,3732,186090422.16
RAV4,2024,O3093-86,Estados Unidos,América,Toyota,SUV Compacto,No,Manual,Sí,4350,54139914.67
Golf,2016,K3056-33,Argentina,América,Volkswagen,Compacto,No,Automático,No,2853,180842641.58
C-Class,2020,O6927-61,Japón,Asia,Mercedes-Benz,Sedan Premium,No,Automático,No,1071,225885364.11
Tucson,2021,K5730-75,Francia,Europa,Hyundai,SUV Compacto,No,Automático,No,4512,24925692.42
CX-5,2018,N3821-81,Italia,Europa,Mazda,SUV Compacto,No,Automático,No,644,229547915.8
Tucson,2020,G3483-48,Alemania,Europa,Hyundai,SUV Compacto,No,Manual,No,3865,119966023.72
3 Series,2018,W4930-66,Alemania,Europa,BMW,Sedan Premium,No,Manual,No,915,47847083.72
Model 3,2021,M5004-91,India,Asia,Tesla,Sedan,Sí,Manual,No,3031,141227317.17
Kona,2015,T3978-46,Italia,Europa,Hyundai,SUV Subcompacto,Sí,Manual,No,694,179794749.17
CX-5,2020,V9375-86,India,Asia,Mazda,SUV Compacto,No,Automático,No,809,212719712.23
C-Class,2015,Q2123-98,Reino Unido,Europa,Mercedes-Benz,Sedan Premium,Sí,Automático,No,3043,197038636.63
Civic,2015,W3802-62,Estados Unidos,América,Honda,Compacto,No,Automático,No,2813,31879605.07
Tucson,2018,R8677-60,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,No,4471,59464898.25
Silverado,2021,M9526-12,Japón,Asia,Chevrolet,Pickup Grande,No,Manual,No,2639,152460277.6
Golf,2016,Y6485-16,Estados Unidos,América,Volkswagen,Compacto,No,Manual,No,3447,69902402.52
3 Series,2022,W9404-37,Japón,Asia,BMW,Sedan Premium,No,Manual,No,4370,98301682.47
Silverado,2022,Z3908-94,Italia,Europa,Chevrolet,Pickup Grande,No,Manual,No,2799,184640466.16
Camry,2023,D7756-88,España,Europa,Toyota,Sedan Mediano,No,Automático,No,4176,200508448.53
Focus,2023,W6595-13,España,Europa,Ford,Compacto,No,Automático,Sí,1916,29126322.84
3 Series,2022,M9057-39,Estados Unidos,América,BMW,Sedan Premium,No,Automático,No,3861,65038392.94
3 Series,2020,A7985-68,Argentina,América,BMW,Sedan Premium,No,Manual,No,1386,214937581.18
Mustang,2023,C8532-37,Brasil,América,Ford,Deportivo,No,Automático,Sí,3259,73937630.0
C-Class,2022,R1282-80,Australia,Oceanía,Mercedes-Benz,Sedan Premium,No,Automático,No,849,226774078.26
C-Class,2023,I4442-32,España,Europa,Mercedes-Benz,Sedan Premium,No,Automático,Sí,4421,5877110.97
C-Class,2021,Z3368-91,Corea del Sur,Asia,Mercedes-Benz,Sedan Premium,No,Automático,No,1024,118344690.82
Camry,2022,Z4032-18,Argentina,América,Toyota,Sedan Mediano,No,Automático,No,171,131300218.6
Q5,2018,A5246-43,Australia,Oceanía,Audi,SUV Premium,Sí,Automático,No,1896,219694927.12
Silverado,2015,J1420-35,Estados Unidos,América,Chevrolet,Pickup Grande,No,Manual,No,2737,42706305.18
Camry,2022,Y9687-50,Estados Unidos,América,Toyota,Sedan Mediano,No,Automático,No,2538,132548344.55
Focus,2015,W2567-10,Corea del Sur,Asia,Ford,Compacto,No,Manual,No,1351,233139322.25
Cherokee,2024,Z1430-83,Canadá,América,Jeep,SUV Mediano,No,Manual,Sí,464,211400464.15
3 Series,2016,T4439-19,Corea del Sur,Asia,BMW,Sedan Premium,No,Automático,No,4186,35212408.53
Kona,2017,J7275-62,Japón,Asia,Hyundai,SUV Subcompacto,No,Manual,No,2294,94471041.45
Silverado,2015,Z9269-94,Australia,Oceanía,Chevrolet,Pickup Grande,No,Automático,No,761,172305162.08
3 Series,2023,H8238-76,Argentina,América,BMW,Sedan Premium,No,Automático,Sí,2966,221144580.75
F-150,2019,M7577-12,China,Asia,Ford,Pickup Grande,No,Automático,No,2273,14658281.47
Golf,2017,J4515-75,México,América,Volkswagen,Compacto,No,Manual,No,238,78629928.15
Camry,2016,P7456-32,México,América,Toyota,Sedan Mediano,No,Automático,No,2983,173557790.78
Camry,2015,H5694-30,Italia,Europa,Toyota,Sedan Mediano,Sí,Manual,No,2700,213855753.52
Tucson,2023,A5329-35,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,Sí,3077,188153900.12
3 Series,2016,I5078-84,Reino Unido,Europa,BMW,Sedan Premium,No,Manual,No,906,135755884.44
Kona,2017,F4663-70,Corea del Sur,Asia,Hyundai,SUV Subcompacto,Sí,Automático,No,299,132428487.31
Silverado,2020,Z2632-15,Argentina,América,Chevrolet,Pickup Grande,No,Automático,No,3363,222020914.51
Kona,2015,I1580-48,Japón,Asia,Hyundai,SUV Subcompacto,No,Manual,No,4305,194820882.94
Kona,2022,Q2027-12,Estados Unidos,América,Hyundai,SUV Subcompacto,No,Manual,No,2023,214202686.14
RAV4,2022,N4175-19,México,América,Toyota,SUV Compacto,No,Automático,No,2091,162571201.86
Golf,2017,O6126-87,Estados Unidos,América,Volkswagen,Compacto,No,Automático,No,1213,104696565.14
Model 3,2015,R1957-24,India,Asia,Tesla,Sedan,Sí,Automático,No,860,82373192.21
RAV4,2024,Y3500-41,Japón,Asia,Toyota,SUV Compacto,Sí,Automático,Sí,2598,49705153.06
Kona,2015,D3043-75,Japón,Asia,Hyundai,SUV Subcompacto,No,Automático,No,2588,148657688.85
CX-5,2022,R2830-14,Francia,Europa,Mazda,SUV Compacto,No,Automático,No,2600,189436730.5
Model 3,2016,F5871-99,India,Asia,Tesla,Sedan,Sí,Automático,No,4947,153668051.14
Focus,2015,Y9044-18,Sudáfrica,África,Ford,Compacto,No,Manual,No,2644,237678382.91
Fusion,2024,Z9845-67,Sudáfrica,África,Ford,Sedan,No,Automático,Sí,885,3558272.2
CX-5,2015,J9205-68,Japón,Asia,Mazda,SUV Compacto,No,Automático,No,1017,139239718.02
Mustang,2024,Z4663-70,Alemania,Europa,Ford,Deportivo,No,Manual,No,2953,3883112.74
Civic,2021,I6331-14,Reino Unido,Europa,Honda,Compacto,No,Manual,No,1567,203831298.88
Q5,2021,U8350-96,Estados Unidos,América,Audi,SUV Premium,No,Automático,No,1767,169081479.1
Focus,2022,W9709-30,China,Asia,Ford,Compacto,No,Manual,No,707,108011466.35
Fusion,2016,N8427-96,Italia,Europa,Ford,Sedan,No,Manual,No,1428,83414094.87
Q5,2022,Y7156-64,Alemania,Europa,Audi,SUV Premium,No,Manual,No,2540,18055532.12
CR-V,2016,U8123-60,Australia,Oceanía,Honda,SUV Compacto,No,Automático,No,3371,58576699.65
Silverado,2020,O7990-96,España,Europa,Chevrolet,Pickup Grande,No,Automático,No,1546,108087566.38
Tucson,2019,Z1238-17,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,No,1965,177849933.65
Silverado,2019,E3238-91,México,América,Chevrolet,Pickup Grande,No,Automático,No,2355,3848534.05
Model 3,2016,J2444-33,Reino Unido,Europa,Tesla,Sedan,Sí,Manual,No,1514,139351898.38
Q5,2024,M5187-89,China,Asia,Audi,SUV Premium,No,Manual,Sí,1693,113002113.96
Golf,2023,X5343-97,Australia,Oceanía,Volkswagen,Compacto,No,Automático,Sí,1974,199721333.18
3 Series,2021,Y4461-82,Brasil,América,BMW,Sedan Premium,No,Manual,No,1067,160712691.49
C-Class,2015,B8905-78,Australia,Oceanía,Mercedes-Benz,Sedan Premium,No,Automático,No,2337,81045917.54
Tucson,2016,S3927-90,India,Asia,Hyundai,SUV Compacto,No,Automático,No,4049,24360092.86
Tucson,2021,X6039-91,México,América,Hyundai,SUV Compacto,No,Automático,No,2078,108534037.07
Camry,2016,R3862-45,Alemania,Europa,Toyota,Sedan Mediano,No,Automático,No,3591,171039213.82
Golf,2023,N5474-44,Francia,Europa,Volkswagen,Compacto,Sí,Manual,Sí,3778,56643707.08
F-150,2017,M4373-92,Japón,Asia,Ford,Pickup Grande,No,Automático,No,4784,99781193.75
Q5,2024,E9734-17,Australia,Oceanía,Audi,SUV Premium,No,Automático,Sí,1954,71846031.84
Camry,2021,S3983-85,Japón,Asia,Toyota,Sedan Mediano,No,Automático,No,320,91338988.78
Model 3,2019,I6191-62,Alemania,Europa,Tesla,Sedan,Sí,Automático,No,2295,204003305.52
Fusion,2023,O5922-23,India,Asia,Ford,Sedan,No,Automático,Sí,2403,145186874.63
RAV4,2018,Y1848-80,Corea del Sur,Asia,Toyota,SUV Compacto,No,Manual,No,1416,203822504.44
3 Series,2020,P2415-96,Australia,Oceanía,BMW,Sedan Premium,No,Automático,No,3595,234881437.56
F-150,2017,F9023-21,Brasil,América,Ford,Pickup Grande,No,Manual,No,3311,135076887.83
Tucson,2020,Q6127-81,México,América,Hyundai,SUV Compacto,No,Manual,No,1412,63595898.8
Q5,2024,L6777-99,India,Asia,Audi,SUV Premium,No,Automático,Sí,1913,116043241.38
Corolla,2018,F9494-37,Italia,Europa,Toyota,Compacto,No,Manual,No,2907,163018418.8
Golf,2022,A7256-28,Argentina,América,Volkswagen,Compacto,Sí,Automático,No,3048,170835119.17
Mustang,2015,C3213-10,China,Asia,Ford,Deportivo,No,Automático,No,793,90615449.67
Civic,2020,Y6351-94,México,América,Honda,Compacto,No,Manual,No,798,24152863.5
Corolla,2018,O1802-12,Canadá,América,Toyota,Compacto,No,Automático,No,3839,182059802.46
Sprinter,2015,C6844-24,Sudáfrica,África,Mercedes-Benz,Comercial,No,Manual,No,2432,210648280.27
Golf,2023,U5041-32,Alemania,Europa,Volkswagen,Compacto,Sí,Manual,Sí,3018,14858477.96
Tucson,2018,E6340-95,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,No,346,162183904.17
Golf,2019,O5384-48,Alemania,Europa,Volkswagen,Compacto,No,Manual,No,2470,135930475.91
Sprinter,2016,D2250-49,Alemania,Europa,Mercedes-Benz,Comercial,No,Manual,No,2830,86440135.79
C-Class,2022,M7893-18,Francia,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,3654,92173409.51
Corolla,2015,W2694-56,España,Europa,Toyota,Compacto,No,Automático,No,4426,135952251.61
Sprinter,2015,F7376-99,Australia,Oceanía,Mercedes-Benz,Comercial,No,Automático,No,1150,172867503.5
Focus,2024,D1646-13,Argentina,América,Ford,Compacto,No,Manual,Sí,2784,127672526.82
CR-V,2020,T9685-20,España,Europa,Honda,SUV Compacto,No,Manual,No,1181,243424090.88
CX-5,2019,S5546-36,Italia,Europa,Mazda,SUV Compacto,No,Automático,No,1035,60109815.47
Q5,2016,H6037-43,Italia,Europa,Audi,SUV Premium,Sí,Automático,No,3989,195871635.76
Q5,2020,K4617-25,Sudáfrica,África,Audi,SUV Premium,No,Automático,No,4357,138655858.72
F-150,2017,W1285-56,Argentina,América,Ford,Pickup Grande,No,Manual,No,1997,54079595.84
Kona,2018,G4137-81,Sudáfrica,África,Hyundai,SUV Subcompacto,No,Automático,No,3350,237194693.82
Mustang,2015,L4742-97,Australia,Oceanía,Ford,Deportivo,No,Manual,No,1391,237397315.06
Golf,2016,Z3488-32,Estados Unidos,América,Volkswagen,Compacto,No,Automático,No,3605,233845214.11
Q5,2023,Y2898-24,China,Asia,Audi,SUV Premium,Sí,Manual,No,783,211196328.73
F-150,2023,Y6133-21,Brasil,América,Ford,Pickup Grande,No,Automático,Sí,452,86320796.84
Mustang,2023,Y2062-75,Brasil,América,Ford,Deportivo,No,Manual,Sí,4992,29413173.0
F-150,2021,K1034-98,México,América,Ford,Pickup Grande,No,Manual,No,4461,211945970.19
Q5,2015,H1977-72,Sudáfrica,África,Audi,SUV Premium,Sí,Manual,No,4306,78273820.88
Corolla,2020,B4881-12,España,Europa,Toyota,Compacto,No,Automático,No,296,56422627.87
RAV4,2022,U3425-49,Italia,Europa,Toyota,SUV Compacto,No,Manual,No,4657,131548036.21
CR-V,2016,Z7634-44,Corea del Sur,Asia,Honda,SUV Compacto,No,Automático,No,2644,243862399.32
RAV4,2019,J2544-38,Brasil,América,Toyota,SUV Compacto,No,Automático,No,2649,152446817.48
Corolla,2024,W6210-28,Italia,Europa,Toyota,Compacto,No,Automático,Sí,1064,132393434.17
CX-5,2019,G3815-76,Argentina,América,Mazda,SUV Compacto,No,Manual,No,974,111112617.03
Q5,2021,D6266-41,Canadá,América,Audi,SUV Premium,Sí,Automático,No,871,62067105.41
Mustang,2018,Z2925-15,Italia,Europa,Ford,Deportivo,No,Automático,No,1310,181235405.67
Focus,2024,F3181-74,Estados Unidos,América,Ford,Compacto,No,Automático,Sí,4919,140833487.29
RAV4,2021,J8418-22,Reino Unido,Europa,Toyota,SUV Compacto,No,Manual,No,4137,247085327.96
CR-V,2018,I2986-68,Japón,Asia,Honda,SUV Compacto,No,Manual,No,4701,91262802.05
CX-5,2020,X3576-56,Brasil,América,Mazda,SUV Compacto,No,Manual,No,4077,25043176.53
Model 3,2019,V9882-99,Australia,Oceanía,Tesla,Sedan,Sí,Automático,No,4543,241217390.09
C-Class,2023,J2451-78,Argentina,América,Mercedes-Benz,Sedan Premium,No,Manual,Sí,1065,105399286.71
Silverado,2018,A5096-42,Italia,Europa,Chevrolet,Pickup Grande,No,Manual,No,3518,236750768.18
Cherokee,2015,Z5073-61,Australia,Oceanía,Jeep,SUV Mediano,No,Manual,No,3249,203050368.22
Cherokee,2024,C2123-30,Corea del Sur,Asia,Jeep,SUV Mediano,No,Automático,Sí,285,159335997.08
Focus,2015,B6289-42,Estados Unidos,América,Ford,Compacto,No,Manual,No,1131,211669225.49
C-Class,2024,Z9278-79,China,Asia,Mercedes-Benz,Sedan Premium,No,Manual,Sí,396,94370019.28
Focus,2022,C6952-49,Sudáfrica,África,Ford,Compacto,No,Automático,No,816,170793691.97
Camry,2021,A8532-37,Sudáfrica,África,Toyota,Sedan Mediano,Sí,Manual,No,4888,213068147.74
Golf,2018,T7392-35,Corea del Sur,Asia,Volkswagen,Compacto,No,Automático,No,3772,75795508.73
CX-5,2024,K1721-59,España,Europa,Mazda,SUV Compacto,No,Manual,Sí,514,5724864.03
Q5,2019,N4820-23,Canadá,América,Audi,SUV Premium,No,Manual,No,3380,207788562.71
Kona,2020,C1004-27,Australia,Oceanía,Hyundai,SUV Subcompacto,No,Automático,No,4719,46364393.21
Corolla,2024,S9646-74,Estados Unidos,América,Toyota,Compacto,No,Manual,Sí,3294,158028374.51
Camry,2021,D2485-67,China,Asia,Toyota,Sedan Mediano,No,Manual,No,555,135256969.18
Camry,2020,Z3398-56,Italia,Europa,Toyota,Sedan Mediano,Sí,Manual,No,3826,94726171.66
CR-V,2023,Y5146-74,Italia,Europa,Honda,SUV Compacto,No,Manual,Sí,2191,59122578.42
Mustang,2021,N3408-70,Canadá,América,Ford,Deportivo,No,Automático,No,3388,117556443.3
Cherokee,2016,C5994-74,España,Europa,Jeep,SUV Mediano,No,Automático,No,1668,151449969.86
CX-5,2021,Q3379-28,Alemania,Europa,Mazda,SUV Compacto,No,Manual,No,2769,236425490.29
RAV4,2022,K6881-27,Brasil,América,Toyota,SUV Compacto,No,Automático,No,251,111366658.24
Cherokee,2015,Q3466-20,Brasil,América,Jeep,SUV Mediano,No,Manual,No,4771,70237186.31
Fusion,2021,T1280-10,Japón,Asia,Ford,Sedan,No,Manual,No,815,97230400.3
Silverado,2021,A1648-38,Corea del Sur,Asia,Chevrolet,Pickup Grande,No,Manual,No,4131,220658746.72
CR-V,2023,K2113-53,México,América,Honda,SUV Compacto,No,Automático,Sí,1302,6929688.03
Golf,2016,L5549-96,Italia,Europa,Volkswagen,Compacto,No,Manual,No,2279,194310044.08
Q5,2021,A1676-95,Sudáfrica,África,Audi,SUV Premium,Sí,Automático,No,4824,118022740.48
Civic,2024,A5609-16,Argentina,América,Honda,Compacto,No,Manual,Sí,3764,156786071.85
CR-V,2021,B2059-20,Francia,Europa,Honda,SUV Compacto,No,Manual,No,3187,166353343.45
Q5,2024,I2936-90,Canadá,América,Audi,SUV Premium,Sí,Manual,Sí,59,239253104.84
C-Class,2019,Q7589-23,Japón,Asia,Mercedes-Benz,Sedan Premium,No,Automático,No,1918,89008664.83
CX-5,2019,G9952-54,Francia,Europa,Mazda,SUV Compacto,No,Automático,No,4722,202369274.01
Cherokee,2021,N6086-78,Reino Unido,Europa,Jeep,SUV Mediano,No,Automático,No,4952,239403706.18
Golf,2017,R2443-94,Canadá,América,Volkswagen,Compacto,Sí,Manual,No,825,83102029.03
Q5,2019,Q3866-44,Canadá,América,Audi,SUV Premium,Sí,Manual,No,2008,27110970.68
C-Class,2016,J1913-99,Brasil,América,Mercedes-Benz,Sedan Premium,No,Manual,No,948,192212057.96
Camry,2022,H5386-16,Australia,Oceanía,Toyota,Sedan Mediano,Sí,Automático,No,538,39328803.92
Model 3,2015,R3688-94,Italia,Europa,Tesla,Sedan,Sí,Automático,No,262,48715433.9
Silverado,2018,F5558-12,Corea del Sur,Asia,Chevrolet,Pickup Grande,No,Manual,No,1564,226059520.7
C-Class,2023,O1801-89,Corea del Sur,Asia,Mercedes-Benz,Sedan Premium,No,Automático,Sí,3855,5966547.66
C-Class,2020,N2573-24,Italia,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,1462,83294822.0
Model 3,2017,N4792-24,Argentina,América,Tesla,Sedan,Sí,Manual,No,2898,169088903.75
Mustang,2022,U6665-70,Brasil,América,Ford,Deportivo,No,Automático,No,704,22924481.98
Corolla,2021,Z9196-74,Reino Unido,Europa,Toyota,Compacto,No,Automático,No,2935,69934586.43
C-Class,2017,Z4247-53,Estados Unidos,América,Mercedes-Benz,Sedan Premium,No,Manual,No,2873,100797397.73
Mustang,2023,S8547-28,Sudáfrica,África,Ford,Deportivo,No,Manual,Sí,698,206658833.95
RAV4,2019,I2132-88,China,Asia,Toyota,SUV Compacto,No,Automático,No,2879,74735725.66
F-150,2022,X2255-27,India,Asia,Ford,Pickup Grande,No,Manual,No,3873,208730676.07
Q5,2017,Y6513-26,Reino Unido,Europa,Audi,SUV Premium,No,Manual,No,4830,41194222.86
RAV4,2016,N8527-46,Canadá,América,Toyota,SUV Compacto,No,Automático,No,864,217797153.89
Focus,2022,K8418-37,India,Asia,Ford,Compacto,No,Manual,No,1191,216410516.08
Tucson,2018,M4894-89,Alemania,Europa,Hyundai,SUV Compacto,No,Automático,No,4121,84534645.33
Model 3,2019,A4473-85,Francia,Europa,Tesla,Sedan,Sí,Automático,No,3246,49506308.79
3 Series,2018,U5269-65,Estados Unidos,América,BMW,Sedan Premium,No,Manual,No,1748,98124027.19
C-Class,2019,G6966-41,Argentina,América,Mercedes-Benz,Sedan Premium,No,Automático,No,3068,209076353.4
Model 3,2016,K1944-23,Australia,Oceanía,Tesla,Sedan,Sí,Manual,No,4553,206666394.89
Cherokee,2023,X9051-30,Corea del Sur,Asia,Jeep,SUV Mediano,No,Automático,Sí,3423,70012603.75
3 Series,2019,O4164-40,Estados Unidos,América,BMW,Sedan Premium,No,Manual,No,4411,144807863.76
F-150,2021,Q9302-18,México,América,Ford,Pickup Grande,No,Manual,No,1259,184070460.36
CX-5,2022,G2471-80,México,América,Mazda,SUV Compacto,No,Automático,No,4655,21474902.78
Golf,2017,O9295-79,Japón,Asia,Volkswagen,Compacto,Sí,Manual,No,3536,118879258.6
Q5,2024,R7132-91,Italia,Europa,Audi,SUV Premium,No,Automático,No,1607,130323875.35
3 Series,2017,D3130-73,Brasil,América,BMW,Sedan Premium,No,Manual,No,130,241706554.55
Sprinter,2018,G1326-26,Estados Unidos,América,Mercedes-Benz,Comercial,Sí,Automático,No,1683,13881468.64
Civic,2022,I2094-78,China,Asia,Honda,Compacto,Sí,Automático,No,2796,104342990.19
Kona,2018,H7914-74,Italia,Europa,Hyundai,SUV Subcompacto,Sí,Manual,No,2582,169849044.69
Model 3,2021,L4597-98,Reino Unido,Europa,Tesla,Sedan,Sí,Manual,No,1472,43168718.91
Corolla,2022,V7150-36,India,Asia,Toyota,Compacto,No,Automático,No,550,191755280.82
Civic,2022,K6827-37,Australia,Oceanía,Honda,Compacto,No,Automático,No,1180,69639193.48
Q5,2024,D8180-15,Brasil,América,Audi,SUV Premium,No,Manual,Sí,3793,50745187.59
Silverado,2016,Q3784-81,Canadá,América,Chevrolet,Pickup Grande,No,Manual,No,3036,45112803.18
Kona,2023,N7182-58,Estados Unidos,América,Hyundai,SUV Subcompacto,No,Manual,Sí,3315,211296567.5
CX-5,2023,E5637-92,Brasil,América,Mazda,SUV Compacto,No,Automático,Sí,4380,189634088.81
RAV4,2017,Z5555-57,India,Asia,Toyota,SUV Compacto,No,Automático,No,4225,208894348.73
Focus,2018,L9699-66,China,Asia,Ford,Compacto,No,Manual,No,1662,199759659.77
Corolla,2018,A1710-47,China,Asia,Toyota,Compacto,No,Manual,No,4429,207329944.45
F-150,2017,I6610-80,Canadá,América,Ford,Pickup Grande,No,Manual,No,3861,219051092.46
Focus,2024,U5455-64,Corea del Sur,Asia,Ford,Compacto,No,Automático,Sí,1329,74840251.5
Camry,2016,O5302-51,Japón,Asia,Toyota,Sedan Mediano,No,Manual,No,4358,209357876.14
CX-5,2015,X8111-22,Australia,Oceanía,Mazda,SUV Compacto,No,Automático,No,2446,98283817.2
Model 3,2017,Z7190-64,India,Asia,Tesla,Sedan,Sí,Manual,No,4337,50911449.72
Tucson,2022,G3287-24,México,América,Hyundai,SUV Compacto,No,Automático,No,3927,102899794.48
Golf,2019,F4810-95,Reino Unido,Europa,Volkswagen,Compacto,Sí,Automático,No,2887,115869234.59
Corolla,2018,X7397-55,Francia,Europa,Toyota,Compacto,No,Manual,No,2190,159745576.75
Corolla,2018,N5769-31,México,América,Toyota,Compacto,No,Manual,No,2224,29607860.24
CX-5,2018,M2734-54,España,Europa,Mazda,SUV Compacto,No,Automático,No,4004,29381656.12
3 Series,2015,B6953-84,México,América,BMW,Sedan Premium,No,Manual,No,4790,63340709.47
Model 3,2022,I2828-11,Corea del Sur,Asia,Tesla,Sedan,Sí,Manual,No,3648,106267163.14
Camry,2021,Q6127-12,India,Asia,Toyota,Sedan Mediano,No,Automático,No,1922,158902803.09
Civic,2017,H8625-45,Corea del Sur,Asia,Honda,Compacto,No,Automático,No,3822,239939585.96
Model 3,2020,V4294-17,Estados Unidos,América,Tesla,Sedan,Sí,Automático,No,4656,217083821.52
Tucson,2024,Y2970-26,Australia,Oceanía,Hyundai,SUV Compacto,No,Manual,Sí,4384,195196660.61
RAV4,2015,S8952-39,Italia,Europa,Toyota,SUV Compacto,No,Manual,No,1976,84052810.57
CX-5,2015,Z5160-91,España,Europa,Mazda,SUV Compacto,No,Automático,No,1421,120619445.89
Civic,2021,A8192-75,España,Europa,Honda,Compacto,No,Automático,No,2938,191198569.95
Sprinter,2016,F6019-31,Italia,Europa,Mercedes-Benz,Comercial,No,Automático,No,3249,209204569.52
F-150,2021,F2631-48,Alemania,Europa,Ford,Pickup Grande,No,Automático,No,2778,220825443.79
CX-5,2022,T1122-78,México,América,Mazda,SUV Compacto,No,Manual,No,4226,44582601.39
Mustang,2024,E4617-57,India,Asia,Ford,Deportivo,No,Automático,Sí,1621,32435490.77
CX-5,2023,K6910-22,Canadá,América,Mazda,SUV Compacto,No,Manual,Sí,3200,29886729.85
F-150,2016,J7840-94,India,Asia,Ford,Pickup Grande,No,Automático,No,3938,60517400.44
Kona,2022,P5036-69,Francia,Europa,Hyundai,SUV Subcompacto,No,Automático,No,3396,225597457.43
C-Class,2021,G5242-12,Corea del Sur,Asia,Mercedes-Benz,Sedan Premium,No,Automático,No,1571,92512220.56
Golf,2018,J8077-91,Argentina,América,Volkswagen,Compacto,No,Automático,No,3376,57734758.07
Fusion,2016,G7196-98,India,Asia,Ford,Sedan,No,Automático,No,1169,165251387.63
Cherokee,2015,K1117-99,Francia,Europa,Jeep,SUV Mediano,No,Manual,No,4972,117360323.91
Focus,2020,P8596-72,Japón,Asia,Ford,Compacto,No,Automático,No,2845,15195556.39
Fusion,2020,U3779-57,Estados Unidos,América,Ford,Sedan,No,Manual,No,3585,211701836.85
Golf,2016,N4566-26,Australia,Oceanía,Volkswagen,Compacto,No,Manual,No,2413,180791814.06
C-Class,2019,J1025-34,Argentina,América,Mercedes-Benz,Sedan Premium,No,Manual,No,222,198656105.9
Camry,2017,R2319-30,Alemania,Europa,Toyota,Sedan Mediano,No,Automático,No,719,15198104.45
Civic,2015,M8249-23,Brasil,América,Honda,Compacto,No,Automático,No,3043,98200571.37
Focus,2015,H4750-51,Corea del Sur,Asia,Ford,Compacto,No,Manual,No,957,170932462.92
Civic,2021,Y9916-90,India,Asia,Honda,Compacto,No,Automático,No,620,224769477.92
F-150,2024,M5534-36,Italia,Europa,Ford,Pickup Grande,Sí,Manual,Sí,1597,227368178.66
Focus,2019,P4179-16,Corea del Sur,Asia,Ford,Compacto,No,Manual,No,1729,179218704.24
Focus,2016,E7799-59,Corea del Sur,Asia,Ford,Compacto,No,Manual,No,1788,94669505.4
Corolla,2017,M1413-57,Argentina,América,Toyota,Compacto,No,Automático,No,1692,210837248.67
CX-5,2017,K2117-76,Francia,Europa,Mazda,SUV Compacto,No,Automático,No,4300,242360802.25
C-Class,2020,D2227-73,España,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,4443,201278615.97
Focus,2019,U8679-25,Japón,Asia,Ford,Compacto,No,Automático,No,733,87933444.78
Corolla,2015,J8067-12,India,Asia,Toyota,Compacto,Sí,Automático,No,97,135620350.7
Focus,2018,R1750-49,Canadá,América,Ford,Compacto,No,Manual,No,2151,204694378.82
C-Class,2020,L7426-58,Brasil,América,Mercedes-Benz,Sedan Premium,No,Automático,No,1059,195447978.68
Camry,2015,Y4015-50,Francia,Europa,Toyota,Sedan Mediano,Sí,Manual,No,4531,102517908.03
C-Class,2019,I6207-20,Francia,Europa,Mercedes-Benz,Sedan Premium,No,Manual,No,3510,178366233.44
Sprinter,2018,L8679-19,Australia,Oceanía,Mercedes-Benz,Comercial,No,Manual,No,2317,220610962.73
Corolla,2024,V4817-45,Canadá,América,Toyota,Compacto,No,Automático,Sí,1098,28446259.55
F-150,2019,X8783-92,Alemania,Europa,Ford,Pickup Grande,No,Automático,No,2155,44093597.31
Sprinter,2017,R4547-86,China,Asia,Mercedes-Benz,Comercial,No,Automático,No,4326,9238315.45
Corolla,2016,C4701-51,España,Europa,Toyota,Compacto,No,Manual,No,4462,248173657.91
3 Series,2023,P9508-25,Alemania,Europa,BMW,Sedan Premium,No,Manual,Sí,2230,179906494.31
Camry,2018,N3577-30,Estados Unidos,América,Toyota,Sedan Mediano,No,Automático,No,1641,235400811.9
3 Series,2024,D2455-21,Corea del Sur,Asia,BMW,Sedan Premium,No,Manual,Sí,3767,123873153.87
